clae6,clae6_desc
451110,"Venta de autos, camionetas y utilitarios nuevos (Incluye taxis, jeeps, 4x4 y vehículos similares)"
461012,Venta al por mayor en comisión o consignación de semillas
461094,"Venta al por mayor en comisión o consignación de  maquinaria, equipo profesional industrial y comercial, embarcaciones y aeronaves"
501200,Servicio de transporte marítimo de carga
502101,Servicio de transporte fluvial y lacustre de pasajeros
502200,Servicio de transporte fluvial y lacustre de carga
521010,Servicios de manipulación de carga en el ámbito terrestre
561014,"Servicios de expendio de bebidas en bares (Incluye: bares, cervecerías, pubs, cafeterías)"
681098,"Servicios inmobiliarios realizados por cuenta propia, con bienes urbanos propios o arrendados n.c.p."
731001,Servicios de comercialización de tiempo y espacio publicitario
931010,"Servicios de organización, dirección y gestión de prácticas deportivas en clubes (Incluye clubes de fútbol, golf, tiro, boxeo, etc.)"
931042,"Servicios prestados por profesionales y técnicos para la realización de prácticas deportivas (Incluye la actividad realizada por entrenadores, instructores, jueces árbitros, cronometradores, etc.)"
931090,Servicios para la práctica deportiva n.c.p.
949100,Servicios de organizaciones religiosas
952200,Reparación de calzado y artículos de marroquinería
16113,"Servicios de pulverización, desinfección y fumigación aérea "
16120,"Servicios de cosecha mecánica (Incluye la cosecha mecánica de granos, caña de azúcar, algodón, forrajes, el enfardado, enrollado, etc.) "
170202,Fabricación de cartón ondulado y envases de cartón
360010,"Captación, depuración y distribución de agua de fuentes subterráneas"
464502,"Venta al por mayor de equipos de audio, video y televisión"
161001,Aserrado y cepillado de madera  nativa
464340,Venta al por mayor de productos veterinarios
611010,Servicios de locutorios
13012,"Producción de semillas varietales o autofecundadas de cereales, oleaginosas, y forrajeras "
222010,Fabricación de envases plásticos
14820,Producción de huevos
31110,"Pesca de organismos marinos, excepto cuando es realizada en buques procesadores"
107309,"Elaboración de productos de confitería n.c.p. (Incluye alfajores, caramelos, frutas confitadas, pastillas, gomas de mascar, etc.)"
210010,Fabricación de medicamentos de uso humano y productos farmacéuticos
267001,Fabricación de equipamiento e instrumentos ópticos y sus accesorios
101013,Saladero y peladero de cueros de ganado bovino
152031,Fabricación de calzado deportivo
275091,"Fabricación de ventiladores, extractores de aire, aspiradoras y similares"
432110,"Instalación de sistemas de iluminación, control y señalización eléctrica para el transporte "
581900,Edición n.c.p.
89110,"Extracción de minerales para la fabricación de abonos excepto turba (Incluye guano, silvita, silvinita y otras sales de potasio naturales, etc.)"
202906,Fabricación de explosivos y productos de pirotecnia
14410,Cría de ganado ovino -excepto en cabañas y para la  producción de lana y leche-
107301,Elaboración de cacao y chocolate
131139,"Fabricación de hilados textiles n.c.p., excepto de lana  y de algodón"
51000,"Extracción y aglomeración de carbón (Incluye la producción de hulla no aglomerada, antracita, carbón bituminoso no aglomerado, ovoides y combustibles sólidos análogos a base de hulla, etc.)"
242090,Fabricación de productos primarios de metales preciosos y metales no ferrosos n.c.p. y sus semielaborados
259910,Fabricación de envases metálicos
301200,Construcción y reparación de embarcaciones de recreo y deporte
462209,Venta al por mayor de materias primas pecuarias n.c.p. incluso animales vivos (Incluye pieles y cueros en bruto)
464121,Venta al por mayor de prendas de vestir de cuero
464910,Venta al por mayor de CD's y DVD's de audio y video grabados.
652000,Reaseguros
842100,Servicios de asuntos exteriores
900040,Servicios de agencias de ventas de entradas
239391,Fabricación de objetos cerámicos para uso doméstico excepto artefactos sanitarios
351120,Generación de energía térmica nuclear (Incluye la producción de energía eléctrica mediante combustible nuclear)
12800,Cultivo de especias y de plantas aromáticas y medicinales
452210,Reparación de cámaras y cubiertas (Incluye reparación de llantas)
461032,"Operaciones de intermediación de carne excepto consignatario directo (Incluye matarifes abastecedores de carne, etc.)"
462190,"Venta al por mayor de materias primas agrícolas y de la silvicultura n.c.p. (Incluye el acopio y venta al por mayor de materiles, desperdicios, subproductos agrícola usados como alimentos para animales)"
463220,"Venta al por mayor de bebidas no alcohólicas (Incluye la venta de aguas, sodas, bebidas refrescantes, jarabes, extractos, concentrados, gaseosas, jugos, etc.)"
464320,"Venta al por mayor de productos cosméticos, de tocador y de perfumería (Incluye venta de artículos para peluquería excepto equipamiento)"
466940,"Venta al por mayor de productos intermedios n.c.p., desperdicios y desechos metálicos (Incluye chatarra, viruta de metales diversos, etc.)"
472120,Venta al por menor de productos de almacén y dietética
472130,"Venta al por menor de carnes rojas, menudencias y chacinados frescos"
472160,"Venta al por menor de frutas, legumbres y hortalizas frescas"
472190,"Venta al por menor de productos alimenticios n.c.p., en comercios especializados"
474020,"Venta al por menor de aparatos de telefonía y comunicación (Incluye teléfonos, celulares, fax, etc)"
475240,Venta al por menor de pinturas y productos conexos
477130,Venta al por menor de indumentaria para bebés y niños
477220,"Venta al por menor de calzado, excepto el ortopédico y el deportivo (No incluye almacenes de suelas 464142)"
477420,Venta al por menor de artículos de relojería y joyería
492150,"Servicio de transporte automotor interurbano regular de pasajeros, E1203excepto transporte internacional (Incluye los llamados servicios de larga distancia)"
492180,Servicio de transporte automotor turístico de pasajeros
493200,Servicio de transporte por gasoductos (Incluye estaciones de bombeo y compresión)
562091,Servicios de cantinas con atención exclusiva  a los empleados o estudiantes dentro de empresas o establecimientos educativos (Incluye cantinas deportivas)
691002,Servicios  notariales
711001,"Servicios relacionados con la construcción (Incluye los servicios prestados por ingenieros, arquitectos y técnicos)"
852200,Enseñanza secundaria de formación técnica y profesional
864000,Servicios de emergencias y traslados
11112,Cultivo de trigo
11291,Cultivo de girasol
14221,Cría de ganado equino realizada en haras (Incluye la producción de semen)
106110,Molienda de trigo
141199,"Confección de prendas de vestir n.c.p., excepto prendas de piel, cuero y de punto"
170201,Fabricación de papel ondulado y envases de papel
222090,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles"
282909,Fabricación de maquinaria y equipo de uso especial n.c.p.
293090,"Fabricación de partes, piezas y accesorios para vehículos automotores y sus motores n.c.p."
421000,"Construcción, reforma y reparación de obras de infraestructura para el transporte (Incluye la construcción, reforma y reparación de calles, autopistas, carreteras, puentes, túneles, vías férreas y pistas de aterrizaje, la señalización mediante pintura, etc.)"
461039,"Venta al por mayor en comisión o consignación de alimentos, bebidas y tabaco n.c.p."
861020,Servicios de internación en instituciones relacionadas con la salud mental
103011,"Preparación de conservas de frutas, hortalizas y legumbres"
181101,Impresión de diarios y revistas
742000,Servicios de fotografía
104013,Elaboración de aceites y grasas vegetales refinados (No incluye aceite de oliva -actividad 104012-)
14810,"Cría de aves de corral, excepto para la producción de huevos"
461095,"Venta al por mayor en comisión o consignación de papel, cartón, libros, revistas, diarios, materiales de embalaje y artículos de librería"
463152,Venta al por mayor de azúcar
464113,"Venta al por mayor de mantelería, ropa de cama y artículos textiles para el hogar"
465610,Venta al por mayor de muebles e instalaciones para oficinas
11341,"Cultivo de legumbres frescas (Incluye arveja, chaucha, haba, lupino, etc.)"
12319,"Cultivo de frutas de pepita n.c.p. (Incluye membrillo, níspero, etc.)"
12311,Cultivo de manzana y pera
103020,"Elaboración de jugos naturales y sus concentrados, de frutas, hortalizas y legumbres (No incluye la elaboración de jugos para diluir o en polvo llamados """"sintéticos"""" o de un contenido en jugos naturales inferior al 50% actividad 110492)"
201210,Fabricación de alcohol
951100,Reparación y mantenimiento de equipos informáticos
120010,Preparación de hojas de tabaco
110100,"Destilación, rectificación y mezcla de bebidas espiritosas"
143010,Fabricación de medias
12900,Cultivos perennes n.c.p.
61000,"Extracción de petróleo crudo (Incluye arenas alquitraníferas, esquistos bituminosos o lutitas, aceites de petróleo y de minerales bituminosos, petróleo, etc.)"
72990,"Extracción de minerales metalíferos no ferrosos n.c.p., excepto minerales de uranio y torio (Incluye aluminio, cobre, estaño, manganeso, níquel, plomo, volframio, antimonio, bismuto, cinc, molibdeno, titanio, circonio, niobio, tántalo, vanadio, cromo, cobalto)"
107912,Elaboración y molienda de hierbas aromáticas y  especias
464501,Venta al por mayor de electrodomésticos y artefactos para el hogar excepto equipos de audio y video
853300,Formación de posgrado
252000,Fabricación de armas y municiones
31130,"Recolección de organismos marinos excepto peces, crustáceos y moluscos (Incluye la recolección de algas marinas)"
301100,Construcción y reparación de buques (Incluye construcción de estructuras flotantes)
17010,"Caza y repoblación  de animales de caza (Incluye la caza de animales para obtener carne, pieles y cueros y la captura de animales vivos para zoológicos, animales de compañía, para investigación, etc.)"
461093,"Venta al por mayor en comisión o consignación de minerales, metales y productos químicos industriales"
651130,Servicios de seguros personales excepto  los de salud y de vida (Incluye los seguros para viajes)
661930,Servicios de sociedades calificadoras de riesgos financieros
661992,Servicios de administradoras de vales y tickets
970000,Servicios de hogares privados que contratan servicio doméstico
581200,Edición de directorios y listas de correos
463111,Venta al por mayor de productos lácteos
464999,"Venta al por mayor de artículos de uso doméstico o personal n.c.p (Incluye artículos de platería excepto los incluidos en talabartería, cuadros y marcos que no sean obra de arte o de colección, sahumerios y artículos de santería, parrillas y hogares, etc.)"
466920,"Venta al por mayor de productos intermedios n.c.p., desperdicios y desechos de papel y cartón"
477110,"Venta al por menor de ropa interior, medias, prendas para dormir y para la playa (Incluye corsetería, lencería, camisetas, medias excepto ortopédicas, pijamas, camisones y saltos de cama, salidas de baño, trajes de baño, etc.)"
477450,Venta al por menor de materiales y productos de limpieza
523090,"Servicios de gestión y logística para el transporte de mercaderías n.c.p. (Incluye las actividades de empresas empaquetadoras para comercio exterior, alquiler de contenedores, etc.)"
641930,Servicios de la banca minorista
801090,Servicios de seguridad e investigación n.c.p.
823000,"Servicios de organización de convenciones y exposiciones comerciales, excepto culturales y deportivos"
920001,"Servicios de recepción de apuestas de quiniela, lotería y similares  "
949920,Servicios de consorcios de edificios
11299,"Cultivo de oleaginosas n.c.p. excepto soja y girasol (Incluye los cultivos de oleaginosas para aceites comestibles y/o uso industrial: cártamo, colza, jojoba, lino oleaginoso, maní, ricino, sésamo, tung, etc.)"
14113,"Cría de ganado bovino, excepto la realizada en cabañas y para la producción de leche (Incluye: ganado bubalino)"
16111,"Servicios de labranza, siembra, transplante  y  cuidados culturales"
16119,"Servicios de maquinaria agrícola n.c.p., excepto los de cosecha mecánica (Incluye clasificado y/o tamañado, rastrillado, roturación de terreno, etc.)"
110300,"Elaboración de cerveza, bebidas malteadas y malta"
202908,"Fabricación de productos químicos n.c.p. (Incluye la producción de aceites esenciales, tintas excepto para imprenta, etc.)"
239592,Fabricación de premoldeadas para la construcción
241009,Fabricación en industrias básicas de productos de hierro y acero n.c.p. (Incluye la producción de hojalata)
243200,Fundición de metales no ferrosos
251102,Fabricación de productos metálicos para uso estructural
282130,Fabricación de implementos de uso agropecuario
352020,Distribución de combustibles gaseosos por tuberías (No incluye el transporte por gasoductos)
432200,"Instalaciones de gas, agua, sanitarios y de climatización, con sus artefactos conexos (Incluye la instalación de compactadores, calderas, sistemas de calefacción central, etc.)"
462120,Venta al por mayor de semillas y granos para forrajes
475110,"Venta al por menor de hilados, tejidos y artículos de mercería (Incluye mercerías, sederías, comercios de venta de lanas y otros hilados, etc.) "
960910,"Servicios de centros de estética, spa y similares (Incluye baños turcos, saunas, solarios, centros de masajes y adelgazamiento, etc.)"
11912,Cultivo de plantas ornamentales
829100,Servicios de agencias de cobro y calificación crediticia
433090,"Terminación de edificios n.c.p. (Incluye trabajos de ornamentación, limpieza exterior de edificios recién construídos, etc.)"
11342,"Cultivo de legumbres secas (Incluye garbanzo, lenteja, poroto, etc.)"
139900,Fabricación de productos textiles n.c.p.
464119,Venta al por mayor de productos textiles n.c.p.
465210,Venta al por mayor de equipos de telefonía y comunicaciones
16291,"Servicios para el control de plagas, baños parasiticidas, etc."
107911,"Tostado, torrado y molienda de café"
432910,"Instalaciones de ascensores, montacargas y  escaleras mecánicas"
649210,Actividades de crédito para financiar otras actividades económicas
663000,Servicios de gestión de fondos a cambio de una retribución o por contrata
16210,Inseminación artificial y servicios n.c.p. para mejorar la reproducción de los animales y el rendimiento de sus productos
332000,Instalación de maquinaria y equipos industriales
14430,Cría de ganado caprino -excepto la realizada en cabañas y para producción de pelos y de leche-
131132,Fabricación de hilados textiles de algodón y sus mezclas
524390,Servicios complementarios para el transporte aéreo n.c.p. (Incluye servicios de prevención y extinción de incendios)
472300,Venta al por menor de tabaco en comercios especializados
162202,Fabricación de viviendas prefabricadas de madera
464212,Venta al por mayor de diarios y revistas
464420,"Venta al por mayor de artículos de relojería, joyería y fantasías"
631200,Portales web
952300,Reparación de tapizados y muebles (Incluye la restauración de muebles)
131300,Acabado de productos textiles
201300,Fabricación de abonos y compuestos de nitrógeno
107920,Preparación de hojas de té
241001,"Laminación y estirado. Producción de lingotes, planchas o barras fabricadas por operadores independientes"
261000,Fabricación de componentes electrónicos
273110,Fabricación de cables de fibra óptica
524110,"Servicios de explotación de infraestructura para el transporte terrestre, peajes y otros derechos"
870920,Servicios de atención a mujeres con alojamiento
203000,Fabricación de fibras manufacturadas
843000,"Servicios de la seguridad social obligatoria, excepto obras sociales (Incluye PAMI y ANSES)"
772010,Alquiler de videos y video juegos (Incluye la actividad de los videoclubes)
16150,Servicios de procesamiento de semillas para su siembra (Incluye la selección de semillas)
451190,"Venta de vehículos automotores nuevos n.c.p. (Incluye casas rodantes, trailers, camiones, remolques, ambulancias, ómnibus, microbuses y similares, cabezas tractoras, etc.)"
461011,"Venta al por mayor en comisión o consignación de cereales (incluye arroz), oleaginosas y forrajeras excepto semillas"
461092,Venta al por mayor en comisión o consignación de  madera y materiales para la construcción
463159,Venta al por mayor de productos y subproductos de molinería n.c.p.
463219,"Venta al por mayor de bebidas alcohólicas n.c.p. (Incluye la venta de aperitivos con alcohol, cerveza, sidra, etc.)"
466129,"Venta al por mayor de combustibles, lubricantes, leña y carbón, excepto gas licuado y combustibles y lubricantes para automotores"
469010,Venta al por mayor de insumos agropecuarios diversos
471110,Venta al por menor en hipermercados
472140,"Venta al por menor de huevos, carne de aves y  productos de granja y de la caza"
475290,Venta al por menor de materiales de construcción n.c.p.
475440,"Venta al por menor de artículos de bazar y menaje (Incluye venta al por menor de vajilla, cubiertos, etc.)"
477290,"Venta al por menor de artículos de marroquinería, paraguas y similares n.c.p."
492240,Servicio de transporte por camión cisterna
702099,"Servicios de asesoramiento, dirección y gestión empresarial n.c.p."
750000,Servicios veterinarios
853100,Enseñanza  terciaria
854910,Enseñanza de idiomas
942000,Servicios de sindicatos
949930,Servicios de cooperativas cuando realizan varias actividades
960202,"Servicios de tratamiento de belleza, excepto los de peluquería"
101012,Procesamiento de carne de ganado bovino
101030,Elaboración de fiambres y embutidos
181109,"Impresión n.c.p., excepto de diarios y revistas"
281900,"Fabricación de  maquinaria y equipo de uso general n.c.p. (Incluye la fabricación de equipos de aire acondicionado, matafuegos, etc.)"
331900,Reparación y mantenimiento de máquinas y equipo n.c.p.
302000,Fabricación y reparación de locomotoras y de material rodante para transporte ferroviario
16130,"Servicios de contratistas de mano de obra agrícola (Incluye la poda de árboles, transplante, cosecha manual de citrus, algodón, etc.)"
141120,"Confección de ropa de trabajo, uniformes y guardapolvos "
465400,Venta al por mayor de máquinas - herramienta de uso general
511000,Servicio de transporte aéreo de pasajeros
651120,"Servicios de seguros de vida (Incluye los seguros de vida, retiro y sepelio)"
651210,Servicios de aseguradoras de riesgo de trabajo (ART)
773040,"Alquiler de maquinaria y equipo de oficina, incluso computadoras"
939020,"Servicios de salones de juegos (Incluye salones de billar, pool, bowling, juegos electrónicos, etc.) "
131131,"Fabricación de hilados textiles de lana, pelos y sus mezclas"
91000,Servicios de apoyo para la extracción de petróleo y gas natural
702010,"Servicios de gerenciamiento de empresas e instituciones de salud, servicios de auditoria y medicina legal, servicio de asesoramiento farmacéutico "
162902,Fabricación de artículos de madera en tornerías
464211,Venta al por mayor de libros y publicaciones
722020,Investigación  y desarrollo experimental en el campo de las ciencias humanas
854920,Enseñanza de cursos relacionados con informática
631120,Hospedaje de datos
275099,"Fabricación de aparatos de uso doméstico n.c.p. (Incluye enceradoras, pulidoras, batidoras, licuadoras y similares)"
524330,"Servicios para la aeronavegación (Incluye remolque de aeronaves y actividades de control de tráfico aéreo, etc.)"
103099,"Elaboración de frutas deshidratadas o desecadas, preparación n.c.p. de frutas"
131201,"Fabricación de tejidos (telas) planos de lana y sus mezclas, incluye hilanderías y tejedurías integradas"
141201,Fabricación de accesorios de vestir de cuero
142000,"Terminación y teñido de pieles, fabricación de artículos de piel "
242010,Elaboración de aluminio primario y semielaborados de aluminio
281700,"Fabricación de maquinaria y equipo de oficina, excepto equipo informático"
351310,Comercio mayorista de energía eléctrica
464122,Venta al por mayor de medias y prendas de punto
493110,Servicio de transporte por oleoductos (Incluye estaciones de bombeo y compresión)
722010,Investigación  y desarrollo experimental en el campo de las ciencias sociales
329010,"Fabricación de lápices, lapiceras,  bolígrafos, sellos y artículos similares para oficinas y artistas"
432920,"Aislamiento térmico, acústico, hídrico y antivibratorio"
433010,"Instalaciones de carpintería, herrería de obra y artística (Incluye instalación de puertas y ventanas, carpintería metálica y no metálica, etc.)"
464130,"Venta al por mayor de calzado excepto el ortopédico (Incluye venta de calzado de cuero, tela, plástico, goma, etc.)"
465990,"Venta al por mayor de máquinas, equipo y materiales conexos n.c.p."
477150,Venta al por menor de prendas de cuero
477330,"Venta al por menor de instrumental médico y odontológico y artículos ortopédicos (Incluye venta de vaporizadores, nebulizadores, masajeadores, termómetros, prótesis, muletas, plantillas, calzado ortopédico y otros artículos similares de uso personal o doméstico)"
602100,Emisión y retransmisión  de televisión abierta
602200,Operadores de televisión por suscripción.
620100,Servicios de consultores en informática y suministros de programas de informática
731009,Servicios de publicidad n.c.p.
773030,"Alquiler de maquinaria y equipo de construcción e ingeniería civil, sin operarios (Incluye el alquiler de andamios sin montaje ni desmantelamiento)"
780000,"Obtención y dotación de personal (Incluye las actividades vinculadas con la búsqueda, selección y colocación de personal, la actividad de casting de actores, etc.)"
842400,Servicios de justicia
870910,Servicios de atención a niños y adolescentes carenciados con alojamiento
941100,Servicios de organizaciones empresariales y de empleadores
14114,Invernada  de ganado bovino excepto el engorde en corrales (Feed-Lot)
104011,Elaboración de aceites y grasas vegetales  sin refinar
239593,"Fabricación de artículos de cemento, fibrocemento y yeso excepto hormigón y mosaicos"
492230,Servicio de transporte automotor de animales
110420,"Elaboración de bebidas gaseosas, excepto soda"
131110,"Preparación de fibras textiles vegetales, desmotado de algodón (Incluye la preparación de fibras de yute, ramio, cáñamo y lino)"
282400,"Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción (Incluye la fabricación de máquinas y equipos viales, equipos para la extracción de petróleo y gas, etc.)"
351110,"Generación de energía térmica convencional (Incluye la producción de energía eléctrica mediante máquinas turbo-gas, turbo vapor, ciclo combinado y turbo diesel)"
390000,Descontaminación y otros servicios de gestión de residuos
239600,"Corte, tallado y acabado de la piedra (Incluye mármoles y granitos, etc.)"
452300,"Instalación y reparación de parabrisas, lunetas y ventanillas, cerraduras no eléctricas y grabado de cristales (Incluye instalación y reparación de aletas, burletes y colisas)"
521030,Servicios de manipulación de carga en el ámbito aéreo
662010,Servicios de evaluación de riesgos y daños
801010,Servicios de transporte de caudales y objetos de valor
855000,Servicios de apoyo a la educación
12200,"Cultivo de frutas cítricas (Incluye bergamota, lima, limón, mandarina, naranja, pomelo, kinoto, etc.)"
202200,"Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas"
13013,"Producción de semillas de hortalizas y legumbres, flores y plantas ornamentales y árboles frutales "
12701,Cultivo de yerba mate
479101,Venta al por menor por internet
641942,Servicios de intermediación financiera realizada por sociedades de ahorro y préstamo para la vivienda y otros inmuebles
721020,Investigación  y desarrollo experimental en el campo de las ciencias médicas
106120,Preparación de arroz
191000,Fabricación de productos de hornos de coque
259302,Fabricación de artículos de cuchillería y utensillos de mesa y de cocina
282200,Fabricación de máquinas herramienta
329040,"Fabricación de equipo de protección y seguridad, excepto calzado"
110290,Elaboración de sidra y otras bebidas alcohólicas fermentadas
239310,Fabricación de artículos sanitarios de cerámica
31200,Pesca continental: fluvial y lacustre
452600,"Reparación y pintura de carrocerías, colocación y reparación de guardabarros y protecciones exteriores"
453100,"Venta al por mayor de partes, piezas y accesorios de vehículos automotores"
463300,Venta al por mayor de cigarrillos y productos de tabaco
466121,Fraccionamiento y distribución de gas licuado
471130,"Venta al por menor en minimercados (Incluye mercaditos, autoservicios y establecimientos similares que vendan carnes, verduras y demás productos alimenticios en forma conjunta)"
472171,Venta al por menor de pan y productos de panadería
472200,Venta al por menor de bebidas en comercios especializados
475120,"Venta al por menor de confecciones para el hogar (Incluye la venta al por menor de sábanas, toallas, mantelería, cortinas confeccionadas, colchas, cubrecamas, etc.)"
475420,Venta al por menor de colchones y somieres
475430,Venta al por menor de artículos de iluminación
477190,Venta al por menor de prendas y accesorios de vestir n.c.p.
477470,"Venta al por menor de productos veterinarios, animales domésticos y alimento balanceado para mascotas"
492229,Servicio de transporte automotor de mercaderías a granel n.c.p.
492280,Servicio de transporte automotor urbano de carga n.c.p. (Incluye el transporte realizado por fleteros y distribuidores dentro del égido urbano)
561020,"Servicios de preparación de comidas para llevar (Incluye rotiserías, casas de empanadas, pizzerías sin consumo en el local) "
611090,"Servicios de telefonía fija, excepto locutorios"
619000,Servicios de telecomunicaciones n.c.p. (Incluye el servicio de pagers)
691001,Servicios jurídicos
791100,Servicios minoristas de agencias de viajes
862110,"Servicios de  consulta médica (Incluye las actividades de establecimientos sin internación o cuyos servicios se desarrollen en unidades independientes a las de internación: consultorios médicos, servicios de medicina laboral)"
869010,"Servicios de rehabilitación física (Incluye actividades de profesionales excepto médicos: kinesiólogos, fisiatras, etc.)"
107999,"Elaboración de productos alimenticios n.c.p. (Incluye la elaboración de polvos para preparar postres y gelatinas, levadura, productos para copetín, sopas, sal de mesa, mayonesa, mostaza, etc.)"
201220,Fabricación de biocombustibles excepto alcohol
281301,"Fabricación de compresores, grifos y válvulas"
282500,"Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco"
331210,Reparación y mantenimiento de maquinaria de uso general
431210,"Movimiento de suelos y preparación de terrenos para obras (Incluye el drenaje, excavación de zanjas para construcciones diversas, el despeje de capas superficiales no contaminadas, movimientos de tierras para hacer terraplenes o desmontes previos a la construcción de vías, carreteras, autopistas, FFCC, etc.)"
591300,Exhibición de filmes y videocintas
103012,"Elaboración y envasado de dulces, mermeladas y jaleas"
151100,Curtido y terminación de cueros
162909,"Fabricación de productos de madera n.c.p, fabricación de artículos de paja y materiales trenzables (Incluye enmarcado de cuadros, carpintería cuando no explicita especialidad)"
453292,"Venta al por menor de partes, piezas y accesorios usados n.c.p."
464920,Venta al por mayor de materiales y productos de limpieza
11111,Cultivo de arroz
107500,"Elaboración de comidas preparadas para reventa (Incluye la elaboración de comidas preparadas para reventa en supermercados, kioscos, cafeterías, etc.)"
370000,"Servicios de depuración de aguas residuales, alcantarillado y cloacas"
381200,"Recolección, transporte, tratamiento y disposición final de residuos peligrosos"
466310,"Venta al por mayor de aberturas (Incluye puertas, ventanas, cortinas de enrollar, madera, aluminio, puertas corredizas, frentes de placard, etc.)"
853201,Enseñanza universitaria excepto formación de posgrado
101040,"Matanza de ganado excepto el bovino y procesamiento de su carne (Incluye ganado ovino, porcino, equino, etc.) "
791200,Servicios mayoristas de agencias de viajes
11990,Cultivos temporales ncp
12490,"Cultivo de frutas n.c.p. (Incluye kiwi, arándanos, mora, grosella, etc.)"
271020,Fabricación de aparatos de distribución y control de la energía eléctrica
162901,Fabricación de ataúdes
266010,"Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos principalmente electrónicos y/o eléctricos (Incluye equipos de laboratorio, esterilizadores, paneles para observación de radiografías, tornos, etc.)"
274000,Fabricación de lámparas eléctricas y equipo de iluminación
275020,"Fabricación de heladeras, freezers, lavarropas y secarropas"
324000,Fabricación de juegos y juguetes
492130,Servicio de transporte escolar (Incluye el servicio de transporte para colonias de vacaciones y clubes)
842500,Servicios de protección civil
281500,"Fabricación de hornos, hogares y quemadores"
501100,Servicio de transporte marítimo de pasajeros
141110,"Confección de ropa interior, prendas para dormir y para la playa"
231010,Fabricación de envases de vidrio
352010,Fabricación de gas y procesamiento de gas natural
479109,"Venta al por menor por correo, televisión y otros medios de comunicación n.c.p."
530090,"Servicios de mensajerías (Incluye servicios puerta a puerta de correo y mensajería, comisionistas de encomiendas, transporte de documentos  realizados por empresas no sujetas a la obligación de servicio universal)"
639900,Servicios de información n.c.p.
643001,Servicios de fideicomisos
653000,"Administración de fondos de pensiones, excepto la seguridad social obligatoria"
774000,Arrendamiento y gestión de bienes intangibles no financieros
107992,Elaboración de vinagres
12600,"Cultivo de frutos oleaginosos (Incluye el cultivo de olivo, coco, palma, etc.)"
14720,Producción de pelos de ganado n.c.p.
453220,Venta al por menor de baterías
461019,Venta al por mayor en comisión o consignación de productos agrícolas n.c.p.
463170,Venta al por mayor de alimentos balanceados para animales
471120,Venta al por menor en supermercados
475300,"Venta al por menor  de electrodomésticos, artefactos para el hogar y equipos de audio y video"
477140,Venta al por menor de indumentaria deportiva
477310,Venta al por menor de productos farmacéuticos y de herboristería
477410,Venta al por menor de artículos de óptica y fotografía
477430,Venta al por menor de bijouterie y fantasía
524120,Servicios  de playas de estacionamiento y garajes
561011,Servicios de restaurantes y cantinas sin espectáculo
813000,Servicios de jardinería y mantenimiento de espacios verdes
841100,"Servicios generales de la Administración Pública (Incluye el desempeño de funciones ejecutivas y legislativas de administración por parte de las entidades de la administración central, regional y local, la administración y supervisión de asuntos fiscales, la aplicación del presupuesto y la gestión de los fondos públicos y la deuda pública, la gestión administrativa de servicios estadísticos y sociológicos y de planificación social y económica a distintos niveles de la administración)"
841900,"Servicios auxiliares para los servicios generales de la Administración Pública (Incluye las actividades de servicios generales y de personal, la administración, dirección y apoyo de servicios generales, compras y suministros, etc. )"
920009,Servicios relacionados con juegos de azar y apuestas n.c.p.
931020,"Explotación de instalaciones deportivas, excepto clubes"
960201,Servicios de peluquería
105090,"Elaboración de productos lácteos n.c.p. (Incluye la producción de caseínas, manteca, postres, etc., cuando no son obtenidos e forma integrada con la producción de leche)"
259999,Fabricación de productos elaborados de metal n.c.p.
271010,"Fabricación de motores, generadores y transformadores eléctricos"
292000,"Fabricación de carrocerías para vehículos automotores, fabricación de remolques y semirremolques"
410021,"Construcción, reforma y reparación de edificios no residenciales (Incluye construcción, reforma y reparación de restaurantes, bares, campamentos, bancos, oficinas, galerías comerciales, estaciones de servicio, edificios para tráfico y comunicaciones, garajes, edificios industriales y depósitos, escuelas, etc.)"
429090,"Construcción de obras de ingeniería civil n.c.p. (Incluye los trabajos generales de construcción para la minería y la industria,  de centrales eléctricas y nucleares, excavaciones de sepulturas, etc.)"
12510,Cultivo de caña de azúcar
22010,"Extracción de productos forestales de bosques cultivados (Incluye tala de árboles, desbaste de troncos y producción de madera en bruto, leña, postes)"
89900,"Explotación de minas y canteras n.c.p. (Incluye amianto, cuarzo, diatomita, piedra pómez, ágata, agua marina, amatista, cristal de roca, rodocrosita, topacio, corindón, feldespato, mica, zeolita, perlita, granulado volcánico, puzolana, toba, talco, vermiculita, tosca, grafito, etc.)"
106131,Elaboración de alimentos a base de cereales
21010,Plantación de bosques
329030,"Fabricación de carteles, señales e indicadores  -eléctricos o no-"
464149,"Venta al por mayor de artículos de marroquinería,  paraguas y productos similares n.c.p."
477820,"Venta al por menor de libros, revistas y similares usados"
561012,Servicios de restaurantes y cantinas con espectáculo
841200,"Servicios para la regulación de las actividades sanitarias, educativas, culturales, y restantes servicios sociales, excepto seguridad social obligatoria (Incluye  la gestión administrativa de programas destinados a mejorar el bienestar de los ciudadanos) "
960102,"Lavado y limpieza de artículos de tela, cuero y/o de piel, incluso la limpieza en seco"
854930,"Enseñanza para adultos, excepto discapacitados"
141130,Confección de prendas de vestir para bebés y niños
89300,Extracción de sal
